ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,ts,V,I
1775248250.7755952,0.0,167.51,0.01128,1.3125,OFF,ON,1775248204.192623,1.72357321,1.31205297
1775248251.396247,0.0,167.77,0.01122,1.3125,OFF,ON,1775248204.6595929,1.72446561,1.31192958
1775248252.326703,0.0,167.91,0.01114,1.3125,OFF,ON,1775248205.2133725,1.72438776,1.31170559
1775248252.9489093,0.0,168.09,0.0111,1.3125,OFF,ON,1775248205.675854,1.72789741,1.31125522
1775248253.877503,0.0,168.3,0.01103,1.3125,OFF,ON,1775248206.2282712,1.72812617,1.31095338
1775248254.5032244,0.0,168.42,0.01099,1.3125,OFF,ON,1775248206.6931734,1.73114347,1.31174994
1775248255.4344082,0.0,168.6,0.01093,1.3125,OFF,ON,1775248207.245587,1.73301327,1.31088507
1775248256.0514307,0.0,168.64,0.01091,1.3125,OFF,ON,1775248207.7097316,1.7360785,1.31100965
1775248256.981086,0.0,168.63,0.01087,1.3125,OFF,ON,1775248208.26437,1.73778892,1.31074369
1775248257.6046207,0.0,168.64,0.01083,1.3125,OFF,ON,1775248208.72971,1.74235022,1.31115222
1775248258.538215,0.0,33.91,0.01087,1.3116,OFF,ON,1775248209.2816668,1.69838071,1.3112911
1775248259.1599815,0.0,36.78,0.01066,1.3124,OFF,ON,1775248209.7451751,1.56867611,1.91607594
1775248260.0899434,0.0,36.31,0.0107,1.3124,OFF,ON,1775248210.297114,38.8189087,0.00269657047
1775248260.711098,0.0,30.3,0.01068,1.3124,OFF,ON,1775248210.7617335,38.874588,0.0132924775
1775248261.635619,0.0,29.91,0.01064,1.3124,OFF,ON,1775248211.31593,38.8751335,0.0142159965
1775248262.2608345,0.0,29.47,0.01064,1.3124,OFF,ON,1775248211.7805655,38.8813477,0.0153659023
1775248263.1947234,0.0,28.62,0.0106,1.3124,OFF,ON,1775248212.3337524,38.8757133,0.0159767903
1775248263.8151784,0.0,26.92,0.01058,1.3124,OFF,ON,1775248212.798529,38.2400208,0.00906058308
1775248264.7434115,0.0,24.84,0.01055,1.3124,OFF,ON,1775248213.3529088,29.7110386,0.00277922
1775248265.368767,0.0,24.04,0.01053,1.3124,OFF,ON,1775248213.8195405,21.5625858,0.00266662496
1775248266.2945497,0.0,23.7,0.01051,1.3124,OFF,ON,1775248214.3728662,13.7805538,0.00271693338
1775248266.9214685,0.0,23.39,0.01049,1.3124,OFF,ON,1775248214.838259,2.31585646,0.00263548177
1775248267.84965,0.0,23.18,0.01047,1.3124,OFF,ON,1775248215.392107,0.191884905,0.00267620757
1775248268.4760828,0.0,23.07,0.01047,1.3124,OFF,ON,1775248215.8571436,0.0404602103,0.0027480768
1775248269.404672,0.0,22.98,0.01045,1.3124,OFF,ON,1775248216.4092894,0.0300248116,0.00271094427
1775248270.0282762,0.0,22.83,0.01043,1.3124,OFF,ON,1775248216.8745382,0.025142502,0.00271214219
1775248270.9563346,0.0,22.81,0.01041,1.3124,OFF,ON,1775248217.4282043,0.0239961892,0.00269657047
1775248271.585616,0.0,22.8,0.01039,1.3124,OFF,ON,1775248217.8920898,0.0208051987,0.00267980108
1775248272.513983,0.0,22.8,0.01037,1.3124,OFF,ON,1775248218.446186,0.0216820017,0.00269058137
1775248273.1319797,0.0,22.81,0.01037,1.3124,OFF,ON,1775248218.9105258,0.0207776483,0.00273969187
1775248274.06044,0.0,22.86,0.01035,1.3124,OFF,ON,1775248219.4630446,39.1775627,0.0278471764
1775248274.6835313,0.0,22.91,0.01032,1.3124,OFF,ON,1775248219.928272,39.3542519,0.0282053258
1775248275.6156244,0.0,22.99,0.01032,1.3124,OFF,ON,1775248220.4832983,39.3708649,0.0284077562
1775248276.236795,0.0,23.13,0.0103,1.3124,OFF,ON,1775248220.9486592,39.3657036,0.028630551
1775248277.1670876,0.0,23.3,0.01028,1.3124,OFF,ON,1775248221.5022223,39.395237,0.0287922565
1775248277.789841,0.0,23.43,0.01028,1.3124,OFF,ON,1775248221.9668908,39.3798943,0.0292114932
1775248278.717411,0.0,23.65,0.01026,1.3124,OFF,ON,1775248222.5188143,34.8711929,0.0071991724
1775248279.3337097,0.0,23.87,0.01026,1.3124,OFF,ON,1775248222.9854617,25.2896366,0.00279239612
1775248280.261761,0.0,24.01,0.01024,1.3124,OFF,ON,1775248223.5385191,18.1041946,0.0027588571
1775248280.8846428,0.0,24.19,0.01022,1.3124,OFF,ON,1775248224.0029087,7.7613349,0.0027564615
1775248281.812105,0.0,24.32,0.01022,1.3124,OFF,ON,1775248224.556133,1.03565383,0.00270495517
1775248282.4351375,0.0,24.38,0.0102,1.3124,OFF,ON,1775248225.020888,0.103245094,0.00280197849
1775248283.362842,0.0,24.45,0.0102,1.3124,OFF,ON,1775248225.5761535,0.0269607902,0.0027420877
1775248283.987161,0.0,24.49,0.01018,1.3124,OFF,ON,1775248226.0407958,0.0232343767,0.0027708353
1775248284.9187448,0.0,24.53,0.01016,1.3124,OFF,ON,1775248226.5940268,0.0214544162,0.0027420877
1775248285.5412934,0.0,24.54,0.01016,1.3124,OFF,ON,1775248227.0598226,0.0204230938,0.0028139567
1775248286.4684358,0.0,24.54,0.01016,1.3124,OFF,ON,1775248227.6229298,0.0195918083,0.00274328538
1775248287.089707,0.0,24.54,0.01014,1.3124,OFF,ON,1775248228.0886202,0.0190695599,0.0027564615
1775248288.0143068,0.0,24.54,0.01014,1.3124,OFF,ON,1775248228.641793,2.13560033,1.31285429
1775248288.6345878,0.0,24.49,0.01012,1.3124,OFF,ON,1775248229.1062667,1.97183442,1.3123368
1775248289.5620642,0.0,24.48,0.01012,1.3124,OFF,ON,1775248229.6595492,1.9446919,1.31220269
1775248290.1879756,0.0,24.44,0.0101,1.3124,OFF,ON,1775248230.1234024,1.91017544,1.31283867
1775248291.111372,0.0,24.43,0.0101,1.3124,OFF,ON,1775248230.6751354,1.88113558,1.31290817
